"numeroAnexo","descAnexo","item","cest","ncms","descricao"
"Anexo II","Autopeças","35.0","0103500","[""84139190"",""84149010"",""8414903"",""84149039""]","Partes das bombas, compressores e turbocompressores dos CEST 01.032.00, 01.033.00 e 01.034.00"
"Anexo II","Autopeças","36.0","0103600","[""841520""]","Máquinas e aparelhos de ar condicionado"
"Anexo II","Autopeças","37.0","0103700","[""84212300""]","Aparelhos para filtrar óleos minerais nos motores de ignição por centelha ou por compressão"
"Anexo II","Autopeças","38.0","0103800","[""84212990""]","Filtros a vácuo"
"Anexo II","Autopeças","39.0","0103900","[""84219""]","Partes dos aparelhos para filtrar ou depurar líquidos ou gases"
"Anexo II","Autopeças","40.0","0104000","[""84241000""]","Extintores, mesmo carregados"
"Anexo II","Autopeças","41.0","0104100","[""84213100""]","Filtros de entrada de ar para motores de ignição por centelha ou por compressão"
"Anexo II","Autopeças","42.0","0104200","[""84213920""]","Depuradores por conversão catalítica de gases de escape"
"Anexo II","Autopeças","43.0","0104300","[""84254200""]","Macacos"
"Anexo II","Autopeças","44.0","0104400","[""84311010""]","Partes para macacos do CEST 01.043.00"
"Anexo II","Autopeças","45.0","0104500","[""8431492""]","Partes reconhecíveis como exclusiva ou principalmente destinadas às máquinas agrícolas ou rodoviárias"
"Anexo II","Autopeças","45.1","0104501","[""84339090""]","Partes reconhecíveis como exclusiva ou principalmente destinadas às máquinas agrícolas ou rodoviárias"
"Anexo II","Autopeças","46.0","0104600","[""84811000""]","Válvulas redutoras de pressão"
"Anexo II","Autopeças","47.0","0104700","[""84812""]","Válvulas para transmissão óleo-hidráulicas ou pneumáticas"
"Anexo II","Autopeças","48.0","0104800","[""84818092""]","Válvulas solenóides"
"Anexo II","Autopeças","49.0","0104900","[""8482""]","Rolamentos"
"Anexo II","Autopeças","50.0","0105000","[""8483""]","""Árvores de transmissão (incluídas as árvores de """"cames""""e virabrequins) e manivelas; mancais e """"bronzes""""; engrenagens e rodas de fricção; eixos de esferas ou de roletes; redutores, multiplicadores, caixas de transmissão e variadores de velocidade, incluídos os conversores de torque; volantes e polias, incluídas as polias para cadernais; embreagens e dispositivos de acoplamento, incluídas as juntas de articulação"""
"Anexo II","Autopeças","51.0","0105100","[""8484""]","""Juntas metaloplásticas; jogos ou sortidos de juntas de composições diferentes, apresentados em bolsas, envelopes ou embalagens semelhantes; juntas de vedação mecânicas (selos mecânicos)"""
"Anexo II","Autopeças","52.0","0105200","[""850520""]","Acoplamentos, embreagens, variadores de velocidade e freios, eletromagnéticos"
"Anexo II","Autopeças","53.0","0105300","[""850710""]","Acumuladores elétricos de chumbo, do tipo utilizado para o arranque dos motores de pistão"
"Anexo II","Autopeças","54.0","0105400","[""8511""]","""Aparelhos e dispositivos elétricos de ignição ou de arranque para motores de ignição por centelha ou por compressão (por exemplo, magnetos, dínamos-magnetos, bobinas de ignição, velas de ignição ou de aquecimento, motores de arranque); geradores (dínamos e alternadores, por exemplo) e conjuntores-disjuntores utilizados com estes motores"""
"Anexo II","Autopeças","55.0","0105500","[""851220"",""851240"",""85129000""]","Aparelhos elétricos de iluminação ou de sinalização (exceto os da posição 8539), limpadores de para-brisas, degeladores e desembaçadores (desembaciadores) elétricos e suas partes"
"Anexo II","Autopeças","56.0","0105600","[""85171213""]","Telefones móveis do tipo dos utilizados em veículos automóveis."
"Anexo II","Autopeças","57.0","0105700","[""8518""]","Alto-falantes, amplificadores elétricos de audiofrequência e partes"
"Anexo II","Autopeças","58.0","0105800","[""85185000""]","Aparelhos elétricos de amplificação de som para veículos automotores"
"Anexo II","Autopeças","59.0","0105900","[""851981""]","Aparelhos de reprodução de som"
"Anexo II","Autopeças","60.0","0106000","[""8525501"",""85256010""]","Aparelhos transmissores (emissores) de radiotelefonia ou radiotelegrafia (rádio receptor/transmissor)"
"Anexo II","Autopeças","61.0","0106100","[""85272""]","Aparelhos receptores de radiodifusão que só funcionam com fonte externa de energia, exceto os classificados na posição 8527.21.90"
"Anexo II","Autopeças","62.0","0106200","[""85272190""]","Outros aparelhos receptores de radiodifusão que funcionem com fonte externa de energia, dos tipos utilizados exclusivamente em veículos automotores"
"Anexo II","Autopeças","62.1","0106201","[""85219090""]","Outros aparelhos videofônicos de gravação ou de reprodução, mesmo incorporando um receptor de sinais videofônicos, dos tipos utilizados exclusivamente em veículos automotores"
"Anexo II","Autopeças","63.0","0106300","[""85291090""]","Antenas"
"Anexo II","Autopeças","64.0","0106400","[""853400""]","Circuitos impressos"
"Anexo II","Autopeças","65.0","0106500","[""853530"",""853650""]","Interruptores e seccionadores e comutadores"
"Anexo II","Autopeças","66.0","0106600","[""85361000""]","Fusíveis e corta-circuitos de fusíveis"
"Anexo II","Autopeças","67.0","0106700","[""85362000""]","Disjuntores"
"Anexo II","Autopeças","68.0","0106800","[""85364""]","Relés"
"Anexo II","Autopeças","69.0","0106900","[""8538""]","Partes reconhecíveis como exclusivas ou principalmente destinados aos aparelhos dos CEST 01.065.00, 01.066.00, 01.067.00 e 01.068.00"
"Anexo II","Autopeças","70.0","0107000","[""853910""]","Faróis e projetores, em unidades seladas"
"Anexo II","Autopeças","71.0","0107100","[""85392""]","Lâmpadas e tubos de incandescência, exceto de raios ultravioleta ou infravermelhos"
"Anexo II","Autopeças","72.0","0107200","[""85442000""]","Cabos coaxiais e outros condutores elétricos coaxiais"
"Anexo II","Autopeças","73.0","0107300","[""85443000""]","Jogos de fios para velas de ignição e outros jogos de fios"
"Anexo II","Autopeças","74.0","0107400","[""8707""]","Carroçarias para os veículos automóveis das posições 8701 a 8705, incluídas as cabinas"
"Anexo II","Autopeças","75.0","0107500","[""8708""]","Partes e acessórios dos veículos automóveis das posições 8701 a 8705"
"Anexo II","Autopeças","76.0","0107600","[""87141""]","Parte e acessórios de motocicletas (incluídos os ciclomotores)"
"Anexo II","Autopeças","77.0","0107700","[""87169090""]","Engates para reboques e semi-reboques"
"Anexo II","Autopeças","78.0","0107800","[""902610""]","""Medidores de nível; Medidores de vazão"""
"Anexo II","Autopeças","79.0","0107900","[""902620""]","Aparelhos para medida ou controle da pressão"
"Anexo II","Autopeças","80.0","0108000","[""9029""]","Contadores, indicadores de velocidade e tacômetros, suas partes e acessórios"
"Anexo II","Autopeças","81.0","0108100","[""90303321""]","Amperímetros"
"Anexo II","Autopeças","82.0","0108200","[""90318040""]","Aparelhos digitais, de uso em veículos automóveis, para medida e indicação de múltiplas grandezas tais como: velocidade média, consumos instantâneo e médio e autonomia (computador de bordo)"
"Anexo II","Autopeças","83.0","0108300","[""9032892""]","Controladores eletrônicos"
"Anexo II","Autopeças","84.0","0108400","[""91040000""]","Relógios para painéis de instrumentos e relógios semelhantes"
"Anexo II","Autopeças","85.0","0108500","[""94012000"",""94019090""]","Assentos e partes de assentos"
"Anexo II","Autopeças","86.0","0108600","[""96138000""]","Acendedores"
"Anexo II","Autopeças","87.0","0108700","[""4009""]","Tubos de borracha vulcanizada não endurecida, mesmo providos de seus acessórios"
"Anexo II","Autopeças","88.0","0108800","[""45049000 68129910""]","Juntas de vedação de cortiça natural e de amianto"
"Anexo II","Autopeças","89.0","0108900","[""48234000""]","Papel-diagrama para tacógrafo, em disco"
"Anexo II","Autopeças","90.0","0109000","[""39191000 39199000 87082999""]","""Fitas, tiras, adesivos, auto-colantes, de plástico, refletores, mesmo em rolos; placas metálicas com película de plástico refletora, próprias para colocação em carrocerias, para-choques de veículos de carga, motocicletas, ciclomotores, capacetes, bonés de agentes de trânsito e de condutores de veículos, atuando como dispositivos refletivos de segurança rodoviários"""
"Anexo II","Autopeças","91.0","0109100","[""84123110""]","Cilindros pneumáticos"
"Anexo II","Autopeças","92.0","0109200","[""84131900 84135090 84138100""]","Bomba elétrica de lavador de para-brisa"
"Anexo II","Autopeças","93.0","0109300","[""84136019 84137010""]","Bomba de assistência de direção hidráulica"
"Anexo II","Autopeças","94.0","0109400","[""84145910 84145990""]","Motoventiladores"
"Anexo II","Autopeças","95.0","0109500","[""84213990""]","Filtros de pólen do ar-condicionado"
"Anexo II","Autopeças","96.0","0109600","[""85011019""]","""""""Máquina"""" de vidro elétrico de porta"""
"Anexo II","Autopeças","97.0","0109700","[""85013110""]","Motor de limpador de para-brisa"
"Anexo II","Autopeças","98.0","0109800","[""85045000""]","Bobinas de reatância e de auto-indução"
"Anexo II","Autopeças","99.0","0109900","[""850720"",""850730""]","Baterias de chumbo e de níquel-cádmio"
"Anexo II","Autopeças","100.0","0110000","[""85123000""]","Aparelhos de sinalização acústica (buzina)"
"Anexo II","Autopeças","101.0","0110100","[""9032898"",""9032899""]","Instrumentos para regulação de grandezas não elétricas"
"Anexo II","Autopeças","102.0","0110200","[""90271000""]","Analisadores de gases ou de fumaça (sonda lambda)"
"Anexo II","Autopeças","103.0","0110300","[""40081100""]","Perfilados de borracha vulcanizada não endurecida"
"Anexo II","Autopeças","104.0","0110400","[""56012219""]","Artefatos de pasta de fibra de uso automotivo"
"Anexo II","Autopeças","105.0","0110500","[""57032000""]","Tapetes/carpetes - nailón"
"Anexo II","Autopeças","106.0","0110600","[""57033000""]","Tapetes de matérias têxteis sintéticas"
"Anexo II","Autopeças","107.0","0110700","[""59119000""]","Forração interior capacete"
"Anexo II","Autopeças","108.0","0110800","[""69039099""]","Outros para-brisas"
"Anexo II","Autopeças","109.0","0110900","[""70072900""]","Moldura com espelho"
"Anexo II","Autopeças","110.0","0111000","[""73145000""]","Corrente de transmissão"
"Anexo II","Autopeças","111.0","0111100","[""73151100""]","Corrente transmissão"
"Anexo II","Autopeças","112.0","0111200","[""73151210""]","Outras correntes de transmissão"
"Anexo II","Autopeças","113.0","0111300","[""84189900""]","Condensador tubular metálico"
"Anexo II","Autopeças","114.0","0111400","[""841950""]","Trocadores de calor"
"Anexo II","Autopeças","115.0","0111500","[""84249090""]","Partes de aparelhos mecânicos de pulverizar ou dispersar"
"Anexo II","Autopeças","116.0","0111600","[""84254910""]","Macacos manuais para veículos"
"Anexo II","Autopeças","117.0","0111700","[""84314100""]","Caçambas, pás, ganchos e tenazes para máquinas rodoviárias"
"Anexo II","Autopeças","118.0","0111800","[""85016100""]","Geradores de corrente alternada de potência não superior a 75 kva"
"Anexo II","Autopeças","119.0","0111900","[""85311090""]","Aparelhos elétricos para alarme de uso automotivo"
"Anexo II","Autopeças","120.0","0112000","[""90141000""]","Bússolas"
"Anexo II","Autopeças","121.0","0112100","[""90251990""]","Indicadores de temperatura"
"Anexo II","Autopeças","122.0","0112200","[""90259010""]","Partes de indicadores de temperatura"
"Anexo II","Autopeças","123.0","0112300","[""902690""]","Partes de aparelhos de medida ou controle"
"Anexo II","Autopeças","124.0","0112400","[""90321010""]","Termostatos"
"Anexo II","Autopeças","125.0","0112500","[""90321090""]","Instrumentos e aparelhos para regulação"
"Anexo II","Autopeças","126.0","0112600","[""90322000""]","Pressostatos"
"Anexo II","Autopeças","127.0","0112700","[""871690""]","Peças para reboques e semi-reboques, exceto os itens classificados no CEST 01.077.00"
"Anexo II","Autopeças","128.0","0112800","[""73229010""]","Geradores de ar quente a combustível líquido, com capacidade superior ou igual a 1.500 kcal/h, mas inferior ou igual a 10.400 kcal/h, do tipo dos utilizados em veículos automóveis"
"Anexo II","Autopeças","999.0","0199900","[]","Outras peças, partes e acessórios para veículos automotores não relacionados nos demais itens deste anexo"
"Anexo III","Bebidas alcoólicas, exceto cerveja e chope","1.0","0200100","[""2205"",""22089000""]","Aperitivos, amargos, bitter e similares"
"Anexo III","Bebidas alcoólicas, exceto cerveja e chope","2.0","0200200","[""22089000""]","Batida e similares"
"Anexo III","Bebidas alcoólicas, exceto cerveja e chope","3.0","0200300","[""22089000""]","Bebida ice"
"Anexo III","Bebidas alcoólicas, exceto cerveja e chope","4.0","0200400","[""220720"",""22084000""]","Cachaça e aguardentes"
"Anexo III","Bebidas alcoólicas, exceto cerveja e chope","5.0","0200500","[""2205"",""22060090"",""22089000""]","Catuaba e similares"
"Anexo III","Bebidas alcoólicas, exceto cerveja e chope","6.0","0200600","[""22082000""]","Conhaque, brandy e similares"
"Anexo III","Bebidas alcoólicas, exceto cerveja e chope","7.0","0200700","[""22060090"",""22089000""]","Cooler"
"Anexo III","Bebidas alcoólicas, exceto cerveja e chope","8.0","0200800","[""22085000""]","Gim (gin) e genebra"
"Anexo III","Bebidas alcoólicas, exceto cerveja e chope","9.0","0200900","[""2205"",""22060090"",""22089000""]","Jurubeba e similares"
"Anexo III","Bebidas alcoólicas, exceto cerveja e chope","10.0","0201000","[""22087000""]","Licores e similares"
"Anexo III","Bebidas alcoólicas, exceto cerveja e chope","11.0","0201100","[""22082000""]","Pisco"
"Anexo III","Bebidas alcoólicas, exceto cerveja e chope","12.0","0201200","[""22084000""]","Rum"
"Anexo III","Bebidas alcoólicas, exceto cerveja e chope","13.0","0201300","[""22060090""]","Saque"
"Anexo III","Bebidas alcoólicas, exceto cerveja e chope","14.0","0201400","[""22089000""]","Steinhaeger"
"Anexo III","Bebidas alcoólicas, exceto cerveja e chope","15.0","0201500","[""22089000""]","Tequila"
"Anexo III","Bebidas alcoólicas, exceto cerveja e chope","16.0","0201600","[""220830""]","Uísque"
"Anexo III","Bebidas alcoólicas, exceto cerveja e chope","17.0","0201700","[""2205""]","Vermute e similares"
"Anexo III","Bebidas alcoólicas, exceto cerveja e chope","18.0","0201800","[""22086000""]","Vodka"
"Anexo III","Bebidas alcoólicas, exceto cerveja e chope","19.0","0201900","[""22089000""]","Derivados de vodka"
"Anexo III","Bebidas alcoólicas, exceto cerveja e chope","20.0","0202000","[""22089000""]","Arak"
"Anexo III","Bebidas alcoólicas, exceto cerveja e chope","21.0","0202100","[""22082000""]","Aguardente vínica / grappa"
"Anexo III","Bebidas alcoólicas, exceto cerveja e chope","22.0","0202200","[""22060010""]","Sidra e similares"
"Anexo III","Bebidas alcoólicas, exceto cerveja e chope","23.0","0202300","[""2205"",""22060090"",""22089000""]","Sangrias e coquetéis"
"Anexo III","Bebidas alcoólicas, exceto cerveja e chope","24.0","0202400","[""2204""]","""Vinhos de uvas frescas, incluindo os vinhos enriquecidos com álcool; mostos de uvas."""
"Anexo III","Bebidas alcoólicas, exceto cerveja e chope","999.0","0299900","[""2205"",""2206"",""2207"",""2208""]","Outras bebidas alcoólicas não especificadas nos itens anteriores"
"Anexo IV","Cervejas, chopes, refrigerantes, águas e outras bebidas","1.0","0300100","[""22011000""]","Água mineral, gasosa ou não, ou potável, naturais, em garrafa de vidro, retornável ou não, com capacidade de até 500 ml"
"Anexo IV","Cervejas, chopes, refrigerantes, águas e outras bebidas","2.0","0300200","[""22011000""]","Água mineral, gasosa ou não, ou potável, naturais, em embalagem com capacidade igual ou superior a 5.000 ml"
"Anexo IV","Cervejas, chopes, refrigerantes, águas e outras bebidas","3.0","0300300","[""22011000""]","Água mineral, gasosa ou não, ou potável, naturais, em embalagem de vidro, não retornável, com capacidade de até 300 ml"
"Anexo IV","Cervejas, chopes, refrigerantes, águas e outras bebidas","4.0","0300400","[""22011000""]","Água mineral, gasosa ou não, ou potável, naturais, em garrafa plástica de 1.500 ml"
"Anexo IV","Cervejas, chopes, refrigerantes, águas e outras bebidas","5.0","0300500","[""22011000""]","Água mineral, gasosa ou não, ou potável, naturais, em copos plásticos e embalagem plástica com capacidade de até 500 ml"
"Anexo IV","Cervejas, chopes, refrigerantes, águas e outras bebidas","6.0","0300600","[""22011000""]","Outras águas minerais, potáveis ou naturais, gasosas ou não, inclusive gaseificadas"
"Anexo IV","Cervejas, chopes, refrigerantes, águas e outras bebidas","7.0","0300700","[""22021000""]","Águas minerais, potáveis ou naturais, gasosas ou não, inclusive gaseificadas ou aromatizadas artificialmente, exceto os refrescos e refrigerantes"
"Anexo IV","Cervejas, chopes, refrigerantes, águas e outras bebidas","8.0","0300800","[""22029000""]","Outras águas minerais, potáveis ou naturais, gasosas ou não, inclusive gaseificadas ou aromatizadas artificialmente"
"Anexo IV","Cervejas, chopes, refrigerantes, águas e outras bebidas","10.0","0301000","[""2202""]","Refrigerante em garrafa com capacidade igual ou superior a 600 ml"
"Anexo IV","Cervejas, chopes, refrigerantes, águas e outras bebidas","11.0","0301100","[""2202""]","Demais refrigerantes"
"Anexo IV","Cervejas, chopes, refrigerantes, águas e outras bebidas","12.0","0301200","[""21069010""]","""Xarope ou extrato concentrado destinados ao preparo de refrigerante em máquina """"pré-mix""""ou """"post-mix"""""""
"Anexo IV","Cervejas, chopes, refrigerantes, águas e outras bebidas","13.0","0301300","[""210690"",""22029000""]","Bebidas energéticas em embalagem com capacidade inferior a 600ml"
"Anexo IV","Cervejas, chopes, refrigerantes, águas e outras bebidas","14.0","0301400","[""210690"",""22029000""]","Bebidas energéticas em embalagem com capacidade igual ou superior a 600ml"
"Anexo IV","Cervejas, chopes, refrigerantes, águas e outras bebidas","15.0","0301500","[""210690"",""22029000""]","Bebidas hidroeletrolíticas (isotônicas) em embalagem com capacidade inferior a 600ml"
"Anexo IV","Cervejas, chopes, refrigerantes, águas e outras bebidas","16.0","0301600","[""210690"",""22029000""]","Bebidas hidroeletrolíticas (isotônicas) em embalagem com capacidade igual ou superior a 600ml"
"Anexo IV","Cervejas, chopes, refrigerantes, águas e outras bebidas","21.0","0302100","[""22030000""]","Cerveja"
"Anexo IV","Cervejas, chopes, refrigerantes, águas e outras bebidas","22.0","0302200","[""22029000""]","Cerveja sem álcool"
"Anexo IV","Cervejas, chopes, refrigerantes, águas e outras bebidas","23.0","0302300","[""22030000""]","Chope"
"Anexo V","Cigarros e outros produtos derivados do fumo","1.0","0400100","[""2402""]","Charutos, cigarrilhas e cigarros, de tabaco ou dos seus sucedâneos"
"Anexo V","Cigarros e outros produtos derivados do fumo","2.0","0400200","[""24031""]","Tabaco para fumar, mesmo contendo sucedâneos de tabaco em qualquer proporção"
"Anexo VI","Cimentos","1.0","0500100","[""2523""]","Cimento"
"Anexo VII","Combustíveis e lubrificantes","1.0","0600100","[""220710""]","Álcool etílico não desnaturado, com um teor alcoólico em volume igual ou superior a 80% vol (álcool etílico anidro combustível e álcool etílico hidratado combustível)"
"Anexo VII","Combustíveis e lubrificantes","2.0","0600200","[""27101259""]","Gasolinas, exceto de aviação"
"Anexo VII","Combustíveis e lubrificantes","3.0","0600300","[""27101251""]","Gasolina de aviação"
"Anexo VII","Combustíveis e lubrificantes","4.0","0600400","[""27101919""]","Querosenes, exceto de aviação"
"Anexo VII","Combustíveis e lubrificantes","5.0","0600500","[""27101911""]","Querosene de aviação"
"Anexo VII","Combustíveis e lubrificantes","6.0","0600600","[""2710192""]","Óleos combustíveis"
"Anexo VII","Combustíveis e lubrificantes","7.0","0600700","[""2710193""]","Óleos lubrificantes"
"Anexo VII","Combustíveis e lubrificantes","8.0","0600800","[""2710199""]","Outros óleos de petróleo ou de minerais betuminosos (exceto óleos brutos) e preparações não especificadas nem compreendidas noutras posições, que contenham, como constituintes básicos, 70% ou mais, em peso, de óleos de petróleo ou de inerais betuminosos, exceto os que contenham biodiesel e exceto os resíduos de óleos"
"Anexo VII","Combustíveis e lubrificantes","9.0","0600900","[""27109""]","Resíduos de óleos"
"Anexo VII","Combustíveis e lubrificantes","10.0","0601000","[""2711""]","Gás de petróleo e outros hidrocarbonetos gasosos, exceto GLP, GLGN e Gás Natural"
"Anexo VII","Combustíveis e lubrificantes","11.0","0601100","[""27111910""]","Gás Liquefeito de Petróleo (GLP)"
"Anexo VII","Combustíveis e lubrificantes","12.0","0601200","[""27111100""]","Gás Liquefeito de Gás Natural (GLGN)"
"Anexo VII","Combustíveis e lubrificantes","13.0","0601300","[""27112100""]","Gás Natural"
"Anexo VII","Combustíveis e lubrificantes","14.0","0601400","[""2713""]","Coque de petróleo e outros resíduos de óleo de petróleo ou de minerais betuminosos"
"Anexo VII","Combustíveis e lubrificantes","15.0","0601500","[""38260000""]","Biodiesel e suas misturas, que não contenham ou que contenham menos de 70%, em peso, de óleos de petróleo ou de óleos minerais betuminosos"
"Anexo VII","Combustíveis e lubrificantes","16.0","0601600","[""3403""]","Preparações lubrificantes, exceto as contendo, como constituintes de base, 70% ou mais, em peso, de óleos de petróleo ou de minerais betuminosos"
"Anexo VII","Combustíveis e lubrificantes","17.0","0601700","[""27102000""]","Óleos de petróleo ou de minerais betuminosos (exceto óleos brutos) e preparações não especificadas nem compreendidas noutras posições, que contenham, como constituintes básicos, 70% ou mais, em peso, de óleos de petróleo ou de minerais betuminosos, que contenham biodiesel, exceto os resíduos de óleos"
"Anexo VIII","Energia elétrica","1.0","0700100","[""27160000""]","Energia elétrica"
"Anexo IX","Ferramentas","1.0","0800100","[""40169990""]","Ferramentas de borracha vulcanizada não endurecida"
"Anexo IX","Ferramentas","2.0","0800200","[""44170010 44170090""]","Ferramentas, armações e cabos de ferramentas, de madeira"
"Anexo IX","Ferramentas","3.0","0800300","[""6804""]","""Mós e artefatos semelhantes, sem armação, para moer, desfibrar, triturar, amolar, polir, retificar ou cortar; pedras para amolar ou para polir, manualmente, e suas partes, de pedras naturais, de abrasivos naturais ou artificiais aglomerados ou de cerâmica, mesmo com partes de outras matérias"""
"Anexo IX","Ferramentas","4.0","0800400","[""8201""]","""Pás, alviões, picaretas, enxadas, sachos, forcados e forquilhas, ancinhos e raspadeiras; machados, podões e ferramentas semelhantes com gume; tesouras de podar de todos os tipos; foices e foicinhas, facas para feno ou para palha, tesouras para sebes, cunhas e outras ferramentas manuais para agricultura, horticultura ou silvicultura"""
"Anexo IX","Ferramentas","5.0","0800500","[""82022000""]","Folhas de serras de fita"
"Anexo IX","Ferramentas","6.0","0800600","[""82029100""]","Lâminas de serras máquinas"
"Anexo IX","Ferramentas","7.0","0800700","[""8202""]","Serras manuais e outras folhas de serras (incluídas as fresas-serras e as folhas não dentadas para serrar), exceto as classificadas nos CEST 08.005.00 e 08.006.00"
"Anexo IX","Ferramentas","8.0","0800800","[""8203""]","Limas, grosas, alicates (mesmo cortantes), tenazes, pinças, cisalhas para metais, corta-tubos, corta-pinos, saca-bocados e ferramentas semelhantes, manuais, exceto as pinças para sobrancelhas classificadas na posição 8203.20.90"
"Anexo IX","Ferramentas","9.0","0800900","[""8204""]","""Chaves de porcas, manuais (incluídas as chaves dinamométricas); chaves de caixa intercambiáveis, mesmo com cabos"""
"Anexo IX","Ferramentas","10.0","0801000","[""8205""]","""Ferramentas manuais (incluídos os diamantes de vidraceiro) não especificadas nem compreendidas em outras posições, lamparinas ou lâmpadas de soldar (maçaricos) e semelhantes; tornos de apertar, sargentos e semelhantes, exceto os acessórios ou partes de máquinas-ferramentas; bigornas; forjas-portáteis; mós com armação, manuais ou de pedal"""
"Anexo IX","Ferramentas","11.0","0801100","[""82060000""]","Ferramentas de pelo menos duas das posições 8202 a 8205, acondicionadas em sortidos para venda a retalho  "
"Anexo IX","Ferramentas","12.0","0801200","[""820740"",""820760"",""820770""]","""Ferramentas de roscar interior ou exteriormente; de mandrilar ou de brochar; e de fresar"""
"Anexo IX","Ferramentas","13.0","0801300","[""8207""]","Outras ferramentas intercambiáveis para ferramentas manuais, mesmo mecânicas, ou para máquinas-ferramentas (por exemplo, de embutir, estampar, puncionar, furar, tornear, aparafusar), incluídas as fieiras de estiragem ou de extrusão, para metais, e as ferramentas de perfuração ou de sondagem, exceto forma ou gabarito de produtos em epoxy, exceto as classificadas no CEST 08.012.00  "
"Anexo IX","Ferramentas","14.0","0801400","[""8208""]","Facas e lâminas cortantes, para máquinas ou para aparelhos mecânicos"
"Anexo IX","Ferramentas","15.0","0801500","[""82090011""]","Plaquetas ou pastilhas intercambiáveis"
